               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096036,            0.039094,            0.026474,             0.28161,             0.23853,             0.22659,            0.078234,             0.06897,            0.029974,            0.023533,            0.070638,           0.0032624,           0.0032624
                   1,            0.070693,            0.032715,            0.021942,             0.22222,             0.29659,             0.30181,             0.11231,            0.062675,            0.021594,            0.021051,            0.040508,           0.0064651,           0.0064651
                   2,             0.06798,             0.02597,            0.020229,             0.18957,             0.58133,             0.25055,            0.096936,            0.060917,            0.019236,            0.014838,            0.010245,           0.0095359,           0.0095359
                   3,            0.062192,             0.02354,            0.014584,             0.39942,              0.6628,             0.50932,             0.19959,            0.054179,            0.017519,           0.0094298,            0.009406,            0.009406,            0.009406
                   4,            0.055029,            0.020939,            0.010474,             0.41641,             0.71201,             0.50733,             0.18183,            0.056316,            0.016968,           0.0072018,            0.009406,            0.009406,            0.009406
                   5,            0.047799,            0.020157,           0.0086804,             0.53938,             0.77197,             0.69698,              0.3356,            0.040802,            0.016594,           0.0055848,            0.009208,            0.009208,            0.009208
                   6,            0.044116,            0.019432,           0.0071535,             0.74992,             0.75616,             0.79701,             0.38385,              0.0397,            0.015074,           0.0055883,             0.00901,             0.00901,             0.00901
                   7,            0.043061,            0.019225,           0.0063882,             0.73694,             0.82193,             0.78026,             0.33608,            0.039889,            0.014834,           0.0050572,            0.008812,            0.008812,            0.008812
                   8,            0.040064,            0.018794,           0.0060697,             0.67788,              0.8245,             0.73584,             0.32636,            0.040032,             0.01457,           0.0043654,            0.008614,            0.008614,            0.008614
                   9,            0.039092,             0.01816,           0.0055897,             0.78678,             0.87347,             0.86051,             0.44443,            0.034384,            0.014045,           0.0046089,            0.008416,            0.008416,            0.008416
                  10,            0.037156,            0.017966,           0.0054069,             0.82387,             0.88757,             0.90138,              0.5326,            0.030348,            0.013782,           0.0039721,            0.008218,            0.008218,            0.008218
                  11,             0.03709,            0.018013,           0.0057475,             0.81443,             0.88435,             0.89397,             0.42355,            0.036466,            0.014053,           0.0039488,             0.00802,             0.00802,             0.00802
                  12,            0.036436,            0.019165,           0.0047729,             0.83009,             0.88382,             0.89873,             0.48698,            0.030866,            0.013866,           0.0034117,            0.007822,            0.007822,            0.007822
                  13,            0.035313,            0.017367,           0.0043715,              0.8419,             0.89892,             0.91196,             0.53053,            0.031695,            0.013348,           0.0035188,            0.007624,            0.007624,            0.007624
                  14,            0.034386,            0.017533,           0.0038789,             0.84446,              0.9198,             0.91033,              0.5278,            0.030357,            0.012715,           0.0025152,            0.007426,            0.007426,            0.007426
                  15,             0.03388,              0.0174,           0.0039145,             0.83708,             0.91939,             0.91847,             0.56017,            0.027855,             0.01294,           0.0029489,            0.007228,            0.007228,            0.007228
                  16,            0.032857,             0.01707,           0.0039117,             0.85725,             0.91698,             0.92994,             0.53216,            0.030292,            0.012725,            0.002877,             0.00703,             0.00703,             0.00703
                  17,            0.032907,            0.016693,           0.0039479,             0.85107,             0.92178,             0.93063,             0.52704,            0.029404,            0.012711,            0.002876,            0.006832,            0.006832,            0.006832
                  18,            0.032377,            0.016718,           0.0037533,              0.8865,             0.91833,             0.94372,             0.58659,            0.027427,            0.012318,           0.0025649,            0.006634,            0.006634,            0.006634
                  19,            0.031348,            0.016992,             0.00328,             0.88413,             0.90364,             0.94504,             0.58185,            0.028673,            0.012233,            0.003147,            0.006436,            0.006436,            0.006436
                  20,            0.031582,            0.016909,           0.0033603,              0.8803,             0.92683,              0.9437,             0.57154,            0.027291,            0.011944,           0.0025979,            0.006238,            0.006238,            0.006238
                  21,            0.031058,            0.016541,           0.0031851,             0.88121,             0.93241,             0.95212,             0.60997,            0.026087,            0.012053,           0.0021274,             0.00604,             0.00604,             0.00604
                  22,            0.029941,            0.015742,           0.0026364,             0.89041,             0.94795,             0.95445,             0.60678,            0.026056,            0.012074,           0.0016975,            0.005842,            0.005842,            0.005842
                  23,            0.029813,            0.016248,           0.0026988,             0.90158,             0.93933,              0.9584,             0.61834,            0.025219,            0.011554,           0.0016881,            0.005644,            0.005644,            0.005644
                  24,             0.02824,            0.016113,           0.0026556,             0.88849,             0.95542,             0.95773,             0.62717,            0.025261,            0.011466,           0.0015388,            0.005446,            0.005446,            0.005446
                  25,            0.028715,            0.015781,           0.0024556,              0.8933,              0.9475,             0.96231,             0.62217,            0.024693,            0.011595,           0.0014019,            0.005248,            0.005248,            0.005248
                  26,            0.027207,            0.015173,           0.0024615,             0.89584,             0.95162,             0.96485,             0.58368,            0.025027,            0.011419,            0.001461,             0.00505,             0.00505,             0.00505
                  27,            0.028271,            0.015181,           0.0033518,             0.90094,             0.94228,             0.96322,             0.64884,            0.023993,            0.011207,           0.0016172,            0.004852,            0.004852,            0.004852
                  28,             0.02809,            0.015779,           0.0025032,             0.91505,             0.95955,              0.9707,             0.64643,            0.023352,            0.010953,           0.0011649,            0.004654,            0.004654,            0.004654
                  29,            0.027332,            0.015517,           0.0020531,             0.92341,             0.95438,             0.97382,             0.65468,             0.02342,            0.010889,           0.0010879,            0.004456,            0.004456,            0.004456
                  30,             0.02651,            0.014439,           0.0022583,             0.92011,             0.96215,             0.97451,             0.66046,             0.02331,            0.010696,           0.0011233,            0.004258,            0.004258,            0.004258
                  31,            0.026651,            0.014761,           0.0027568,             0.91718,             0.96402,             0.97416,             0.65757,            0.023041,            0.010816,            0.001061,             0.00406,             0.00406,             0.00406
                  32,            0.025879,             0.01466,           0.0020035,              0.9274,             0.95629,             0.97749,             0.67906,            0.022818,            0.010836,          0.00091019,            0.003862,            0.003862,            0.003862
                  33,            0.026001,            0.014872,           0.0020699,             0.92321,             0.96405,              0.9794,             0.67722,            0.022787,            0.010675,           0.0009742,            0.003664,            0.003664,            0.003664
                  34,              0.0251,            0.014776,           0.0017462,             0.93431,             0.95698,             0.97656,             0.68983,            0.021631,            0.010416,           0.0010427,            0.003466,            0.003466,            0.003466
                  35,            0.025095,             0.01391,           0.0018761,             0.92181,             0.96993,             0.97577,             0.69942,            0.021243,            0.010228,          0.00095865,            0.003268,            0.003268,            0.003268
                  36,            0.024354,            0.014458,           0.0017244,             0.92251,              0.9653,             0.97673,             0.70217,            0.021291,            0.010514,          0.00084561,             0.00307,             0.00307,             0.00307
                  37,            0.024136,            0.013685,           0.0017704,             0.91998,             0.96912,             0.97672,             0.69895,            0.020557,            0.010151,           0.0010056,            0.002872,            0.002872,            0.002872
                  38,            0.023881,            0.013786,            0.001593,             0.93094,             0.96234,             0.97841,             0.70486,            0.020594,            0.010156,          0.00078795,            0.002674,            0.002674,            0.002674
                  39,            0.023671,            0.014215,           0.0015361,             0.93889,             0.96007,             0.97873,             0.71221,            0.020299,            0.010044,          0.00070452,            0.002476,            0.002476,            0.002476
                  40,            0.023922,            0.013802,           0.0016667,             0.93368,             0.96913,             0.98098,             0.71376,            0.020616,            0.010019,          0.00066748,            0.002278,            0.002278,            0.002278
                  41,            0.022746,            0.013661,           0.0013046,             0.94659,             0.96576,             0.98047,             0.72226,            0.019666,           0.0097472,          0.00060478,             0.00208,             0.00208,             0.00208
                  42,            0.023052,            0.013837,           0.0014188,             0.94159,             0.97216,             0.98273,             0.72775,            0.019804,           0.0097719,          0.00058265,            0.001882,            0.001882,            0.001882
                  43,            0.022544,            0.013562,           0.0018548,             0.94092,             0.96634,             0.98248,             0.72831,            0.019502,           0.0097091,          0.00055925,            0.001684,            0.001684,            0.001684
